LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,run3DEM
"0","120",0.0430807099,445.9677778300,-73.5836617490,-50.6879406610,529.3798828100,529.3798828100
"0","121",0.0434298051,448.6250044200,-73.5834502060,-50.6876629610,526.7226562500,526.7226562500
"0","122",0.0437789004,452.0908247500,-73.5832386640,-50.6873852610,523.2568359400,523.2568359400
"0","123",0.0441279956,455.5732466400,-73.5830271220,-50.6871075610,519.7744140600,519.7744140600
"0","124",0.0444770908,458.6474654100,-73.5828155790,-50.6868298610,516.7001953100,516.7001953100
"0","125",0.0448261861,461.5615279300,-73.5826040370,-50.6865521610,513.7861328100,513.7861328100
"0","126",0.0450234035,464.1191451300,-73.5824845280,-50.6863952780,511.2285156200,511.2285156200
"0","127",0.0453019143,467.0390670200,-73.5824632920,-50.6861175780,508.3085937500,508.3085937500
"0","128",0.0455804251,469.4160201600,-73.5824420560,-50.6858398780,505.9316406200,505.9316406200
"0","129",0.0458589359,471.1123092400,-73.5824208190,-50.6855621780,504.2353515600,504.2353515600
"0","130",0.0461374467,472.9834030100,-73.5823995830,-50.6852844780,502.3642578100,502.3642578100
"0","131",0.0464159575,475.4423874000,-73.5823783470,-50.6850067780,499.9052734400,499.9052734400
"0","132",0.0466944683,478.3261764800,-73.5823571100,-50.6847290780,497.0214843800,497.0214843800
"0","133",0.0469729791,479.4433640100,-73.5823358740,-50.6844513780,495.9042968800,495.9042968800
"0","134",0.0472514899,480.0791062600,-73.5823146380,-50.6841736780,495.2685546900,495.2685546900
"0","135",0.0475300008,482.0927781600,-73.5822934010,-50.6838959780,493.2548828100,493.2548828100
"0","136",0.0478085116,484.1064500500,-73.5822721650,-50.6836182780,491.2412109400,491.2412109400
"0","137",0.0480870224,485.3134813300,-73.5822509290,-50.6833405780,490.0341796900,490.0341796900
"0","138",0.0483655332,486.0175829500,-73.5822296920,-50.6830628780,489.3300781200,489.3300781200
"0","139",0.0486440440,486.2089894000,-73.5822084560,-50.6827851780,489.1386718800,489.1386718800
"0","140",0.0489225548,487.3144581900,-73.5821872200,-50.6825074780,488.0332031200,488.0332031200
"0","141",0.0492010656,488.7900441500,-73.5821659830,-50.6822297780,486.5576171900,486.5576171900
"0","142",0.0494795764,490.8193410500,-73.5821447470,-50.6819520780,484.5283203100,484.5283203100
"0","143",0.0497580872,493.0253957500,-73.5821235110,-50.6816743780,482.3222656200,482.3222656200
"0","144",0.0500365980,494.9052785800,-73.5821022740,-50.6813966780,480.4423828100,480.4423828100
"0","145",0.0503151089,497.4462942200,-73.5820810380,-50.6811189780,477.9013671900,477.9013671900
"0","146",0.0505936197,500.5839895500,-73.5820598020,-50.6808412780,474.7636718800,474.7636718800
"0","147",0.0508721305,503.1611380000,-73.5820385650,-50.6805635780,472.1865234400,472.1865234400
"0","148",0.0511506413,505.6835989600,-73.5820173290,-50.6802858780,469.6640625000,469.6640625000
"0","149",0.0514291521,507.8584036600,-73.5819960930,-50.6800081780,467.4892578100,467.4892578100
"0","150",0.0517076629,510.0429739900,-73.5819748560,-50.6797304780,465.3046875000,465.3046875000
"0","151",0.0519861737,513.0537161900,-73.5819536200,-50.6794527780,462.2939453100,462.2939453100
"0","152",0.0522646845,516.4140677700,-73.5819323840,-50.6791750780,458.9335937500,458.9335937500
"0","153",0.0525431953,518.3515677900,-73.5819111470,-50.6788973780,456.9960937500,456.9960937500
"0","154",0.0528217061,520.0507865600,-73.5818899110,-50.6786196780,455.2968750000,455.2968750000
"0","155",0.0529941611,520.0509590100,-73.5818767620,-50.6784477250,455.2968750000,455.2968750000
"0","156",0.0532970826,522.9288887200,-73.5821544620,-50.6783267120,452.4189453100,452.4189453100
"0","157",0.0536000042,522.9894363500,-73.5824321620,-50.6782056990,452.4794921900,452.4794921900
"0","158",0.0539029257,527.6437332300,-73.5827098620,-50.6780846850,447.8251953100,447.8251953100
"0","159",0.0542058473,528.4152176700,-73.5829875620,-50.6779636720,448.5966796900,448.5966796900
"0","160",0.0545087688,530.4445145700,-73.5832652620,-50.6778426590,446.5673828100,446.5673828100
"0","161",0.0548116904,531.0665849500,-73.5835429620,-50.6777216460,445.9453125000,445.9453125000
"0","162",0.0551146119,536.1574052700,-73.5838206620,-50.6776006330,440.8544921900,440.8544921900
"0","163",0.0554175335,536.9367022100,-73.5840983620,-50.6774796200,440.0751953100,440.0751953100
"0","164",0.0557204550,537.8527178800,-73.5843760620,-50.6773586070,439.1591796900,439.1591796900
"0","165",0.0560233766,541.0011554000,-73.5846537620,-50.6772375940,436.0107421900,436.0107421900
