ID,DIST,DIST_SURF,X,Y,Z,runDEM
"167",0.0566292197,551.6613182000,-73.5852091620,-50.6769955670,447.0000000000,447.0000000000
"168",0.0569321412,553.4494041700,-73.5854868620,-50.6768745540,445.2119140600,445.2119140600
"169",0.0587496705,575.5177636200,-73.5871530620,-50.6761484750,423.1435546900,423.1435546900
"170",0.0590525921,579.2247948800,-73.5874307620,-50.6760274620,419.4365234400,419.4365234400
"171",0.0593555136,587.5617089500,-73.5877084620,-50.6759064490,411.0996093800,411.0996093800
"172",0.0595491053,592.3693261400,-73.5878859350,-50.6758291120,406.2919921900,406.2919921900
"173",0.0598288378,595.0997949000,-73.5881636350,-50.6757954530,403.5615234400,403.5615234400
"174",0.0601085702,596.9435449200,-73.5884413350,-50.6757617940,401.7177734400,401.7177734400
"175",0.0603883026,598.3214746400,-73.5887190350,-50.6757281340,400.3398437500,400.3398437500
"176",0.0606680350,598.6622950700,-73.5889967350,-50.6756944750,400.6806640600,400.6806640600
"177",0.0609477674,605.4337794500,-73.5892744350,-50.6756608160,393.9091796900,393.9091796900
"178",0.0612274999,608.1320216500,-73.5895521350,-50.6756271570,391.2109375000,391.2109375000
"179",0.0615072323,612.3497951000,-73.5898298350,-50.6755934980,386.9931640600,386.9931640600
"180",0.0617869647,616.3273341700,-73.5901075350,-50.6755598390,383.0156250000,383.0156250000
"181",0.0620666971,622.4318263600,-73.5903852350,-50.6755261800,376.9111328100,376.9111328100
"182",0.0623464296,628.5919826200,-73.5906629350,-50.6754925200,370.7509765600,370.7509765600
"183",0.0626261620,633.6574123200,-73.5909406350,-50.6754588610,365.6855468800,365.6855468800
"184",0.0629058944,639.0704982600,-73.5912183350,-50.6754252020,360.2724609400,360.2724609400
"185",0.0631856268,644.5177638900,-73.5914960350,-50.6753915430,354.8251953100,354.8251953100
"186",0.0634653592,652.7160060800,-73.5917737350,-50.6753578840,346.6269531200,346.6269531200
"187",0.0637450917,657.6251857800,-73.5920514350,-50.6753242250,341.7177734400,341.7177734400
"188",0.0640248241,663.1281154700,-73.5923291350,-50.6752905660,336.2148437500,336.2148437500
"189",0.0643045565,668.0128811100,-73.5926068350,-50.6752569060,331.3300781200,331.3300781200
"190",0.0645842889,672.9630764300,-73.5928845350,-50.6752232470,326.3798828100,326.3798828100
"191",0.0648640213,677.9572170600,-73.5931622350,-50.6751895880,321.3857421900,321.3857421900
"192",0.0651437538,682.9796780100,-73.5934399350,-50.6751559290,316.3632812500,316.3632812500
"193",0.0654234862,687.7550686400,-73.5937176350,-50.6751222700,311.5878906200,311.5878906200
"194",0.0657032186,696.1271389600,-73.5939953350,-50.6750886110,303.2158203100,303.2158203100
"195",0.0659829510,700.2277249000,-73.5942730350,-50.6750549520,299.1152343800,299.1152343800
"196",0.0662626835,704.3829983500,-73.5945507350,-50.6750212920,294.9599609400,294.9599609400
"197",0.0665424159,708.8361233600,-73.5948284350,-50.6749876330,290.5068359400,290.5068359400
"198",0.0668221483,713.8097561800,-73.5951061350,-50.6749539740,285.5332031200,285.5332031200
"199",0.0671018807,718.5402249400,-73.5953838350,-50.6749203150,280.8027343800,280.8027343800
"200",0.0673816131,723.3204983800,-73.5956615350,-50.6748866560,276.0224609400,276.0224609400
"201",0.0676613456,728.0089749500,-73.5959392350,-50.6748529970,271.3339843800,271.3339843800
"202",0.0676856281,728.0089992400,-73.5959633410,-50.6748500750,271.3339843800,271.3339843800
"203",0.0679730984,736.4836086200,-73.5962410410,-50.6747757660,262.8593750000,262.8593750000
"204",0.0682605686,740.9074367500,-73.5965187410,-50.6747014570,258.4355468800,258.4355468800
"205",0.0685480388,745.6720852000,-73.5967964410,-50.6746271480,253.6708984400,253.6708984400
"206",0.0688355091,753.2511867700,-73.5970741410,-50.6745528380,246.0917968800,246.0917968800
"207",0.0691229793,759.5949367700,-73.5973518410,-50.6744785290,239.7480468800,239.7480468800
"208",0.0694104495,767.0871242800,-73.5976295410,-50.6744042200,232.2558593800,232.2558593800
"209",0.0696979198,775.2316555300,-73.5979072410,-50.6743299110,224.1113281200,224.1113281200
"210",0.0699853900,785.6173977200,-73.5981849410,-50.6742556020,213.7255859400,213.7255859400
"211",0.0702728602,792.7795071000,-73.5984626410,-50.6741812930,206.5634765600,206.5634765600
"212",0.0705603305,800.4836086700,-73.5987403410,-50.6741069840,198.8593750000,198.8593750000
"213",0.0708478007,807.6506008700,-73.5990180410,-50.6740326750,191.6923828100,191.6923828100
"214",0.0711352709,817.6691555600,-73.5992957410,-50.6739583650,181.6738281200,181.6738281200
"215",0.0714227412,835.4631008700,-73.5995734410,-50.6738840560,163.8798828100,163.8798828100
"216",0.0717102114,870.9631008700,-73.5998511410,-50.6738097470,128.3798828100,128.3798828100
"217",0.0719976816,882.2814602500,-73.6001288410,-50.6737354380,139.6982421900,139.6982421900
"218",0.0722851519,885.8498196400,-73.6004065410,-50.6736611290,143.2666015600,143.2666015600
"219",0.0725726221,888.3888821500,-73.6006842410,-50.6735868200,140.7275390600,140.7275390600
"220",0.0728600923,895.5177884100,-73.6009619410,-50.6735125110,133.5986328100,133.5986328100
"221",0.0731475626,908.3293118500,-73.6012396410,-50.6734382020,120.7871093800,120.7871093800
"222",0.0734350328,912.2902493600,-73.6015173410,-50.6733638920,116.8261718800,116.8261718800
"223",0.0737225031,919.1447415600,-73.6017950410,-50.6732895830,109.9716796900,109.9716796900
"224",0.0740099733,927.4660306200,-73.6020727410,-50.6732152740,101.6503906200,101.6503906200
"225",0.0742974435,937.6213040600,-73.6023504410,-50.6731409650,91.4951171880,91.4951171880
"226",0.0745849138,946.3390775100,-73.6026281410,-50.6730666560,82.7773437500,82.7773437500
"227",0.0748723840,954.5998197000,-73.6029058410,-50.6729923470,74.5166015620,74.5166015620
"228",0.0751598542,963.2756009500,-73.6031835410,-50.6729180380,65.8408203120,65.8408203120
"229",0.0754473245,972.6252103300,-73.6034612410,-50.6728437290,56.4912109380,56.4912109380
"230",0.0757347947,981.2463040900,-73.6037389410,-50.6727694190,47.8701171880,47.8701171880
"231",0.0760222649,989.3810697200,-73.6040166410,-50.6726951100,39.7353515620,39.7353515620
"232",0.0763097352,996.9445462900,-73.6042943410,-50.6726208010,32.1718750000,32.1718750000
"233",0.0765972054,1006.1164213000,-73.6045720410,-50.6725464920,23.0000000000,23.0000000000
"234",0.0768846756,1011.4220854000,-73.6048497410,-50.6724721830,17.6943359380,17.6943359380
"235",0.0771721459,1014.0744291000,-73.6051274410,-50.6723978740,15.0419921880,15.0419921880
